name,date,open_price,close_price,high_price,low_price,volume,market
AAME,04-Jan-2010,1.32,1.32,1.32,1.32,1400,NASDAQ
AAON,04-Jan-2010,5.8726,5.9259,5.8074,5.923,72700,NASDAQ
AAPL,04-Jan-2010,30.49,30.6429,30.34,30.5729,17633100,NASDAQ
AAWW,04-Jan-2010,37.98,38.66,37.07,38.2,607400,NASDAQ
AAXJ,04-Jan-2010,57.0,57.34,56.77,57.17,273800,NASDAQ
ABAX,04-Jan-2010,25.6,25.6,24.81,24.9,111100,NASDAQ
ABCB,04-Jan-2010,7.31,7.36,6.97,7.31,28700,NASDAQ
ABCD,04-Jan-2010,4.19,4.2,4.01,4.1,26200,NASDAQ
ABIO,04-Jan-2010,135.66,138.6,133.14,137.76,43500,NASDAQ
ABMD,04-Jan-2010,8.86,8.92,8.7,8.74,149000,NASDAQ
ACAD,04-Jan-2010,1.31,1.36,1.3,1.36,302100,NASDAQ
ACET,04-Jan-2010,5.23,5.28,5.16,5.25,119100,NASDAQ
ACFC,04-Jan-2010,1.6,1.63,1.5,1.51,1600,NASDAQ
ACGL,04-Jan-2010,23.9367,24.0667,23.9167,23.9833,534700,NASDAQ
ACHN,04-Jan-2010,3.1,3.23,3.1,3.13,200700,NASDAQ
ACIW,04-Jan-2010,5.7467,5.89,5.7333,5.8433,63800,NASDAQ
ACLS,04-Jan-2010,5.76,5.8,5.64,5.8,514600,NASDAQ
ACMR,04-Jan-2010,2.96,3.19,2.93,3.12,60500,NASDAQ
ACOR,04-Jan-2010,25.44,25.84,25.36,25.45,563500,NASDAQ
ACTG,04-Jan-2010,9.23,9.75,9.02,9.75,119600,NASDAQ
ACWI,04-Jan-2010,43.11,43.27,42.84,43.16,365500,NASDAQ
ACWX,04-Jan-2010,41.69,42.1,41.69,42.06,41900,NASDAQ
ACXM,04-Jan-2010,13.51,13.97,13.5,13.83,336400,NASDAQ
ADBE,04-Jan-2010,36.65,37.3,36.65,37.09,4710100,NASDAQ
ADES,04-Jan-2010,3.075,3.135,3.05,3.12,35000,NASDAQ
ADI,04-Jan-2010,31.79,32.19,31.61,31.67,2102600,NASDAQ
ADP,04-Jan-2010,38.2264,38.2264,37.4889,37.6032,3450500,NASDAQ
ADRA,04-Jan-2010,25.69,26.24,25.69,26.24,11700,NASDAQ
ADRD,04-Jan-2010,21.79,21.93,21.79,21.85,7100,NASDAQ
ADRE,04-Jan-2010,44.67,45.38,44.67,45.38,187400,NASDAQ
ADRU,04-Jan-2010,21.65,21.84,21.65,21.73,4000,NASDAQ
ADSK,04-Jan-2010,25.61,25.83,25.61,25.67,2228500,NASDAQ
ADTN,04-Jan-2010,22.7,22.88,22.63,22.7,638500,NASDAQ
ADUS,04-Jan-2010,9.25,9.52,9.2,9.32,45100,NASDAQ
AEHR,04-Jan-2010,1.39,1.43,1.25,1.4,45100,NASDAQ
AEIS,04-Jan-2010,15.3,15.8,15.21,15.57,602600,NASDAQ
AETI,04-Jan-2010,2.26,2.32,2.23,2.3,1100,NASDAQ
AEY,04-Jan-2010,2.01,2.05,2.0,2.01,6000,NASDAQ
AEZS,04-Jan-2010,486.0,504.0,486.0,492.0,72300,NASDAQ
AFAM,04-Jan-2010,39.83,40.88,39.71,40.49,87100,NASDAQ
AFSI,04-Jan-2010,6.005,6.06,5.935,5.98,129400,NASDAQ
AGEN,04-Jan-2010,0.64,0.66,0.62,0.64,574300,NASDAQ
AGII,04-Jan-2010,29.5,29.84,29.14,29.83,117500,NASDAQ
AGNC,04-Jan-2010,26.76,26.8,26.28,26.71,555300,NASDAQ
AGYS,04-Jan-2010,9.23,9.95,9.23,9.73,116400,NASDAQ
AHGP,04-Jan-2010,27.53,28.88,27.53,28.33,43500,NASDAQ
AHPI,04-Jan-2010,5.34,5.36,5.0,5.0,2500,NASDAQ
AIMC,04-Jan-2010,12.57,12.7,12.44,12.69,63000,NASDAQ
AINV,04-Jan-2010,9.54,9.94,9.54,9.92,2978100,NASDAQ
AIRT,04-Jan-2010,9.58,9.58,9.44,9.45,8200,NASDAQ
AKAM,04-Jan-2010,25.63,26.06,25.53,25.92,3015500,NASDAQ
AKRX,04-Jan-2010,1.82,1.88,1.81,1.87,213600,NASDAQ
ALCO,04-Jan-2010,28.65,28.94,28.39,28.84,16600,NASDAQ
ALGN,04-Jan-2010,18.05,18.5,18.05,18.5,374100,NASDAQ
ALGT,04-Jan-2010,47.18,48.09,47.17,48.01,252900,NASDAQ
ALKS,04-Jan-2010,9.47,9.72,9.47,9.71,567600,NASDAQ
ALLT,04-Jan-2010,3.99,4.22,3.99,4.11,198000,NASDAQ
ALNY,04-Jan-2010,17.84,18.29,17.69,18.14,163100,NASDAQ
ALOG,04-Jan-2010,38.93,39.05,37.89,38.88,76800,NASDAQ
ALOT,04-Jan-2010,7.09,7.37,7.09,7.12,2300,NASDAQ
ALSK,04-Jan-2010,8.0,8.18,7.98,8.13,395700,NASDAQ
ALTR,04-Jan-2010,23.01,23.26,22.79,23.0,4304400,NASDAQ
ALXN,04-Jan-2010,24.55,24.785,23.935,24.125,564000,NASDAQ
AMAG,04-Jan-2010,38.22,38.48,38.02,38.39,251600,NASDAQ
AMAT,04-Jan-2010,14.05,14.57,14.03,14.3,18615900,NASDAQ
AMCN,04-Jan-2010,7.79,8.2,7.55,8.2,142200,NASDAQ
AMD,04-Jan-2010,9.79,9.9,9.68,9.7,18748600,NASDAQ
AMED,04-Jan-2010,49.1,51.4,49.09,50.55,1066600,NASDAQ
AMGN,04-Jan-2010,56.63,57.87,56.56,57.72,5277300,NASDAQ
AMKR,04-Jan-2010,7.24,7.39,7.2,7.38,2702000,NASDAQ
AMNB,04-Jan-2010,21.87,22.51,21.87,22.46,4300,NASDAQ
AMOT,04-Jan-2010,2.55,2.61,2.52,2.52,1100,NASDAQ
AMPH,04-Jan-2010,23.28,23.49,22.95,23.39,15300,NASDAQ
AMRB,04-Jan-2010,7.95,8.0,7.65,7.65,19900,NASDAQ
AMRN,04-Jan-2010,1.43,1.45,1.28,1.38,13000,NASDAQ
AMSC,04-Jan-2010,415.5,422.5,414.6,421.5,862200,NASDAQ
AMSF,04-Jan-2010,18.07,18.3,17.88,18.02,84400,NASDAQ
AMSWA,04-Jan-2010,6.07,6.15,5.9,6.03,43500,NASDAQ
AMTD,04-Jan-2010,19.5,20.06,19.41,20.01,4449800,NASDAQ
AMWD,04-Jan-2010,19.93,20.63,19.93,20.63,53700,NASDAQ
AMZN,04-Jan-2010,136.25,136.61,133.14,133.9,7600500,NASDAQ
ANAT,04-Jan-2010,120.68,121.36,119.61,120.45,24400,NASDAQ
ANCX,04-Jan-2010,5.9,5.94,5.86,5.94,1800,NASDAQ
ANDE,04-Jan-2010,17.42,17.7333,17.3333,17.5867,210800,NASDAQ
ANGO,04-Jan-2010,16.15,16.42,16.05,16.25,205600,NASDAQ
ANIK,04-Jan-2010,7.66,7.85,7.1,7.56,207800,NASDAQ
ANSS,04-Jan-2010,43.56,44.99,43.51,44.64,736800,NASDAQ
APEI,04-Jan-2010,34.7,35.3,34.7,34.8,180900,NASDAQ
APOG,04-Jan-2010,14.29,14.48,14.12,14.25,167800,NASDAQ
ARAY,04-Jan-2010,5.65,5.68,5.52,5.68,368000,NASDAQ
ARCC,04-Jan-2010,12.71,13.15,12.55,13.08,1743700,NASDAQ
ARCI,04-Jan-2010,2.17,2.27,2.16,2.27,3500,NASDAQ
ARCW,04-Jan-2010,0.932,0.94,0.924,0.924,3000,NASDAQ
AREX,04-Jan-2010,7.83,8.06,7.61,7.9,53200,NASDAQ
ARII,04-Jan-2010,11.19,11.4,10.81,11.11,41700,NASDAQ
ARKR,04-Jan-2010,13.82,14.35,13.79,13.8,15500,NASDAQ
ARLP,04-Jan-2010,22.18,22.55,21.63,22.49,141000,NASDAQ
ARNA,04-Jan-2010,35.7,35.8,35.0,35.3,1356300,NASDAQ
AROW,04-Jan-2010,25.05,25.33,25.0,25.1,19300,NASDAQ